case,face_id,prompt,run,kind,warp_type,warp_components,mode,stage,input_ssim,input_psnr,output_ssim_vs_clean,output_psnr_vs_clean,output_l2_vs_clean,arcface_clean_vs_stage_edit,arcface_original_vs_stage_input,stage_path,edit_path
image2_black_jacket,image_2,Add a black jacket,combined_bspline_tps,combined,bspline+tps,bspline+tps,combined,learned_geometry_on_reconstruction,0.8283944129943848,30.61293966169754,0.9461151957511902,33.31562851864102,0.021588306437104497,0.9880083799362183,0.9371122121810913,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/combined_bspline_tps/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,single_bezier,single,bezier,bezier,geometry_only_original,learned_geometry_on_original,0.9937014579772949,44.2588277064813,0.9514756202697754,32.682909282776436,0.023219589409072365,0.9906087517738342,0.9855984449386597,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,single_bezier,single,bezier,bezier,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8343349099159241,30.81225865344556,0.89762943983078,19.715641092469653,0.10332798145150966,0.8896664977073669,0.9174829125404358,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bezier/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,single_bspline,single,bspline,bspline,geometry_only_original,learned_geometry_on_original,0.9931413531303406,44.16193094763103,0.9554848074913025,33.78717341764624,0.020447552367367974,0.9916953444480896,0.9701629877090454,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bspline/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bspline/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,single_bspline,single,bspline,bspline,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.8333033919334412,30.802830079919005,0.8616273999214172,17.233425216550174,0.13750824497168546,0.7464343905448914,0.9116551876068115,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bspline/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_bspline/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,single_delaunay,single,delaunay,delaunay,geometry_only_original,learned_geometry_on_original,0.9756481647491455,37.9198318759028,0.9100024104118347,30.224369004682895,0.030816374959034023,0.9632427096366882,0.9032687544822693,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_delaunay/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_delaunay/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,single_delaunay,single,delaunay,delaunay,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.83355712890625,30.599826303413025,0.9235016703605652,29.13009400289559,0.034953872670109576,0.9802368879318237,0.8692318797111511,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_delaunay/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_delaunay/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,single_diffgeom,single,diffgeom,diffgeom,geometry_only_original,learned_geometry_on_original,0.8067002296447754,27.00289947325443,0.7490212321281433,23.63023336304948,0.06583977405903131,0.8813591003417969,0.7095648050308228,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_diffgeom/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_diffgeom/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,image_2,Add a black jacket,single_diffgeom,single,diffgeom,diffgeom,geometry_only_reconstruction,learned_geometry_on_reconstruction,0.7114171981811523,24.050704326650436,0.3955783545970917,8.902364388516546,0.35882424569851645,0.38424938917160034,0.7024915814399719,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_diffgeom/geometry_only_reconstruction/learned_geometry_on_reconstruction.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_diffgeom/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,image_2,Add a black jacket,single_fft,single,fft,fft,geometry_only_original,learned_geometry_on_original,0.9994266629219055,49.965500170330166,0.9924984574317932,44.09627939279289,0.006240020699883561,0.9937759637832642,0.9971781969070435,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_fft/geometry_only_original/learned_geometry_on_original.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_family_attribution/image2_black_jacket/single_fft/geometry_only_original/learned_geometry_on_original_edit.png
