case,control,warp_type,configured_iterations,configured_scale,mode,comparison,edit_ssim,edit_psnr,edit_l2,arcface_edit_cosine_similarity,left_edit_path,right_edit_path
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_on_original_effect,0.9588673114776611,34.599595558602644,0.018621738431130564,0.9892768859863281,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_on_reconstruction_effect,0.9729284644126892,31.83880146829808,0.025589389604542837,0.9529613852500916,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_increment_after_delta,0.9729284644126892,31.83880146829808,0.025589389604542837,0.9529613852500916,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,geometry_on_original_effect,0.9198746085166931,29.028228467007004,0.03536621450044708,0.9700611233711243,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.4640873372554779,10.032065837394002,0.3150624951743058,0.3499895930290222,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,geometry_increment_after_delta,0.4640873372554779,10.032065837394002,0.3150624951743058,0.3499895930290222,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_combined_edit.png
image4_red_scarf,all_iter50_scale05,all,50.0,0.5,combined,delta_increment_after_reconstruction,0.813251256942749,25.987417922040947,0.050191376212627134,-0.23658329248428345,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only_edit.png
image4_red_scarf,all_iter50_scale05,all,50.0,0.5,combined,geometry_on_original_effect,0.9389491677284241,34.235565511547385,0.019418770291971543,0.9796473979949951,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_original_edit.png
image4_red_scarf,all_iter50_scale05,all,50.0,0.5,combined,geometry_on_reconstruction_effect,0.9750266671180725,37.25800960474392,0.013711959434494252,0.989829421043396,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_geometry_on_reconstruction_edit.png
image4_red_scarf,all_iter50_scale05,all,50.0,0.5,combined,geometry_increment_after_delta,0.9795385003089905,37.36071320254271,0.013550781416700564,0.9917724132537842,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image4_red_scarf__all_iter50_scale05/combined/learned_combined_edit.png
